meth_quantile	p_snp_null	observed	var_per_mut	se	obs_exp_ratio
[0,0.05]	0.102203413673322	150874	1476212.92261574	7867.5176035756	0.166480947249708
(0.05,0.1]	0.0144432536793743	30156	2087895.19795421	24554.5742089455	0.235463844671961
(0.1,0.15]	0.00728486647998321	21143	2902318.1218345	38862.457255593	0.327310960865213
(0.15,0.2]	0.005130749401087	18843	3672562.91956257	50438.8388451924	0.414175857910494
(0.2,0.25]	0.00458907519367747	19837	4322657.43375269	66528.1187297016	0.487490722498211
(0.25,0.3]	0.00427034550333589	20798	4870331.91664541	75274.1395582272	0.549255096254616
(0.3,0.35]	0.004640642436544	25279	5447306.13178332	64617.4421078485	0.614323767855602
(0.35,0.4]	0.00539264283229957	33223	6160801.1198162	81622.1961906134	0.694788665327953
(0.4,0.45]	0.00633709876954178	42665	6732576.14431738	72941.8716476851	0.75927099455998
(0.45,0.5]	0.00814609856068914	57139	7014278.00981163	66250.7311651791	0.791040119928692
(0.5,0.55]	0.00675831494436872	47156	6977478.91126207	65399.7931201222	0.786890075791691
(0.55,0.6]	0.0101728097102137	76079	7478661.46789469	58131.601358046	0.843411289970866
(0.6,0.65]	0.0119229807115873	92019	7717784.85815813	52489.750573984	0.870378597945707
(0.65,0.7]	0.0184927563753385	150881	8158924.33435243	43077.9692865504	0.920128411635141
(0.7,0.75]	0.0340142044488129	295475	8686812.01833349	30913.5171530926	0.979661315272712
(0.75,0.8]	0.0651529674590087	593650	9111634.09975912	24214.5198799104	1.02757092332777
(0.8,0.85]	0.137555429082322	1292057	9392991.67339116	16488.7938685904	1.05930122094036
(0.85,0.9]	0.285109152648579	2751417	9650398.7137563	10280.6563541615	1.0883304803732
(0.9,0.95]	0.402712067949696	3947444	9802149.75949786	8982.14131675073	1.10544431094205
(0.95,1]	0.330687934578407	3324401	10052985.4657028	11447.3913761184	1.13373248355813
