chr	start	end	mu_background	filter
chr1	0	50000	NA	very_poor_mapping_qual
chr1	100000	150000	NA	very_poor_mapping_qual
chr1	1000000	1050000	NA	very_poor_mapping_qual
chr1	10000000	10050000	1.12747175589684	poor_mapping_qual
chr1	100000000	100050000	0.959923096135428	PASS
chr1	100050000	100100000	0.959198288522225	PASS
chr1	100100000	100150000	0.95851044752416	PASS
chr1	100150000	100200000	0.957857747911408	PASS
chr1	100200000	100250000	0.957238364454141	PASS
chr1	100250000	100300000	0.956650471922533	PASS
chr1	100300000	100350000	0.956092245086758	PASS
chr1	100350000	100400000	0.955561858716989	PASS
chr1	100400000	100450000	0.9550574875834	PASS
chr1	100450000	100500000	0.954577306456163	PASS
chr1	10050000	10100000	1.12284444966234	PASS
chr1	100500000	100550000	0.954119490105452	PASS
chr1	100550000	100600000	0.953682213301442	PASS
chr1	100600000	100650000	0.953263650814304	PASS
chr1	100650000	100700000	0.952861977414213	PASS
chr1	100700000	100750000	0.952475367871342	PASS
chr1	100750000	100800000	0.952101996955864	PASS
chr1	100800000	100850000	0.951740039437952	PASS
chr1	100850000	100900000	0.951387670087782	PASS
chr1	100900000	100950000	0.951043063675524	PASS
chr1	100950000	101000000	0.950704394971354	PASS
chr1	10100000	10150000	1.11782777235385	PASS
chr1	101000000	101050000	0.950369838745444	PASS
chr1	101050000	101100000	0.950037569767969	PASS
chr1	101100000	101150000	0.9497057628091	PASS
chr1	101150000	101200000	0.949372592639012	PASS
chr1	101200000	101250000	0.949036234027879	PASS
chr1	101250000	101300000	0.948694861745872	PASS
chr1	101300000	101350000	0.948346650563167	PASS
chr1	101350000	101400000	0.947989775249936	PASS
chr1	101400000	101450000	0.947622410576353	PASS
chr1	101450000	101500000	0.947242731312592	PASS
chr1	10150000	10200000	1.11243923456711	PASS
chr1	101500000	101550000	0.946848912228825	PASS
chr1	101550000	101600000	0.946439128095226	PASS
chr1	101600000	101650000	0.946011553681968	PASS
chr1	101650000	101700000	0.945564363759226	PASS
chr1	101700000	101750000	NA	very_poor_mapping_qual
chr1	101750000	101800000	0.944603836465979	PASS
chr1	101800000	101850000	0.944086848635822	PASS
chr1	101850000	101900000	0.943542944376873	PASS
chr1	101900000	101950000	0.942970298459307	PASS
chr1	101950000	102000000	0.942367085653295	PASS
chr1	10200000	10250000	1.10669634689784	poor_mapping_qual
chr1	102000000	102050000	0.941731480729013	poor_mapping_qual
chr1	102050000	102100000	0.941061658456633	PASS
chr1	102100000	102150000	0.940355793606329	PASS
chr1	102150000	102200000	0.939612060948274	PASS
chr1	102200000	102250000	0.938828809264215	PASS
chr1	102250000	102300000	0.93800745302158	PASS
chr1	102300000	102350000	0.937152027768833	PASS
chr1	102350000	102400000	0.9362666534602	PASS
chr1	102400000	102450000	0.935355450049903	PASS
chr1	102450000	102500000	0.934422537492168	PASS
chr1	10250000	10300000	1.1006166199418	poor_mapping_qual
chr1	102500000	102550000	0.933472035741218	PASS
chr1	102550000	102600000	0.932508064751278	poor_mapping_qual
chr1	102600000	102650000	0.931534744476571	PASS
chr1	102650000	102700000	0.930556194871323	PASS
chr1	102700000	102750000	0.929576535889757	PASS
chr1	102750000	102800000	0.928599887486097	PASS
chr1	102800000	102850000	0.927630369614567	PASS
chr1	102850000	102900000	0.926672102229393	PASS
chr1	102900000	102950000	0.925729205284797	poor_mapping_qual
chr1	102950000	103000000	0.924805798735005	PASS
chr1	10300000	10350000	1.09421756429472	PASS
chr1	103000000	103050000	0.92390600253424	PASS
chr1	103050000	103100000	0.923033936636727	PASS
chr1	103100000	103150000	0.922193720996689	PASS
chr1	103150000	103200000	0.921389475568352	PASS
chr1	103200000	103250000	0.920625320305938	PASS
chr1	103250000	103300000	0.919905375163673	PASS
chr1	103300000	103350000	0.919233760095781	PASS
chr1	103350000	103400000	NA	very_poor_mapping_qual
chr1	103400000	103450000	0.918052000000011	PASS
chr1	103450000	103500000	NA	very_poor_mapping_qual
chr1	10350000	10400000	1.08751669055233	PASS
chr1	103500000	103550000	0.917112999652421	PASS
chr1	103550000	103600000	0.916744834269755	PASS
chr1	103600000	103650000	0.916449718686806	PASS
chr1	103650000	103700000	0.9162317728578	PASS
chr1	103700000	103750000	0.916095116736959	PASS
chr1	103750000	103800000	0.916043870278509	PASS
chr1	103800000	103850000	0.916082153436674	PASS
chr1	103850000	103900000	0.916214086165677	PASS
chr1	103900000	103950000	0.916443788419743	poor_mapping_qual
chr1	103950000	104000000	0.916775380153097	PASS
chr1	10400000	10450000	1.08053150931039	PASS
chr1	104000000	104050000	0.917212981319962	PASS
chr1	104050000	104100000	0.917760711874562	PASS
chr1	104100000	104150000	NA	very_poor_mapping_qual
chr1	104150000	104200000	NA	very_poor_mapping_qual
chr1	104200000	104250000	NA	very_poor_mapping_qual
chr1	104250000	104300000	NA	very_poor_mapping_qual
chr1	104300000	104350000	0.922295503861446	PASS
chr1	104350000	104400000	0.923590529781168	PASS
chr1	104400000	104450000	0.925024524768195	PASS
chr1	104450000	104500000	0.926601608776752	PASS
chr1	10450000	10500000	1.07327953116462	PASS
chr1	104500000	104550000	0.928325901761062	PASS
chr1	104550000	104600000	0.930201523675349	poor_mapping_qual
chr1	104600000	104650000	0.932232594473838	PASS
chr1	104650000	104700000	0.934423234110753	PASS
chr1	104700000	104750000	0.936776699557334	PASS
chr1	104750000	104800000	0.939287934766796	PASS
chr1	104800000	104850000	0.941947237908096	PASS
chr1	104850000	104900000	0.944744856395193	PASS
chr1	104900000	104950000	0.947671037642043	PASS
chr1	104950000	105000000	0.950716029062603	PASS
chr1	1050000	1100000	NA	very_poor_mapping_qual
chr1	10500000	10550000	1.06577826671077	poor_mapping_qual
chr1	105000000	105050000	0.95387007807083	PASS
chr1	105050000	105100000	0.957123432080682	PASS
chr1	105100000	105150000	0.960466338506114	PASS
chr1	105150000	105200000	0.963889044761085	PASS
chr1	105200000	105250000	NA	very_poor_mapping_qual
chr1	105250000	105300000	0.970934846415468	PASS
chr1	105300000	105350000	NA	very_poor_mapping_qual
chr1	105350000	105400000	NA	very_poor_mapping_qual
chr1	105400000	105450000	0.981858232967505	poor_mapping_qual
chr1	105450000	105500000	0.985554933892802	PASS
chr1	10550000	10600000	1.05804522654457	PASS
chr1	105500000	105550000	0.989263166545337	PASS
chr1	105550000	105600000	0.992973178339065	PASS
chr1	105600000	105650000	0.996675216687945	PASS
chr1	105650000	105700000	1.00035952900593	PASS
chr1	105700000	105750000	1.00401636270699	PASS
chr1	105750000	105800000	NA	very_poor_mapping_qual
chr1	105800000	105850000	1.01120858391412	PASS
chr1	105850000	105900000	1.01472446624811	PASS
chr1	105900000	105950000	1.01817385962099	PASS
chr1	105950000	106000000	1.02154701144673	PASS
chr1	10600000	10650000	1.05009792126176	PASS
chr1	106000000	106050000	1.02483416913927	PASS
chr1	106050000	106100000	1.02802558011258	PASS
chr1	106100000	106150000	1.03111149178061	PASS
chr1	106150000	106200000	1.03408215155732	PASS
chr1	106200000	106250000	1.03692780685666	poor_mapping_qual
chr1	106250000	106300000	1.0396387050926	PASS
chr1	106300000	106350000	1.04220509367908	PASS
chr1	106350000	106400000	1.04461722003007	PASS
chr1	106400000	106450000	1.04686533155953	PASS
chr1	106450000	106500000	1.0489396756814	PASS
chr1	10650000	10700000	1.04195386145809	PASS
chr1	106500000	106550000	1.05083049980966	PASS
chr1	106550000	106600000	1.05252805135825	PASS
chr1	106600000	106650000	1.05402257774113	PASS
chr1	106650000	106700000	1.05530432637225	PASS
chr1	106700000	106750000	1.05636354466559	PASS
chr1	106750000	106800000	1.05719048003509	PASS
chr1	106800000	106850000	1.0577753798947	PASS
chr1	106850000	106900000	1.0581084916584	PASS
chr1	106900000	106950000	1.05818006274012	PASS
chr1	106950000	107000000	1.05798034055384	poor_mapping_qual
chr1	10700000	10750000	1.03363055772929	PASS
chr1	107000000	107050000	1.05749957251351	PASS
chr1	107050000	107100000	1.05672800603308	PASS
chr1	107100000	107150000	1.05565588852651	PASS
chr1	107150000	107200000	1.05427346740776	PASS
chr1	107200000	107250000	1.05257366070084	PASS
chr1	107250000	107300000	1.05056474369152	PASS
chr1	107300000	107350000	1.04826047032882	PASS
chr1	107350000	107400000	1.04567460133357	PASS
chr1	107400000	107450000	1.04282089742659	PASS
chr1	107450000	107500000	1.03971311932873	PASS
chr1	10750000	10800000	1.02514552067111	poor_mapping_qual
chr1	107500000	107550000	1.0363650277608	PASS
chr1	107550000	107600000	1.03279038344365	PASS
chr1	107600000	107650000	1.02900294709811	PASS
chr1	107650000	107700000	1.025016479445	PASS
chr1	107700000	107750000	1.02084474120516	poor_mapping_qual
chr1	107750000	107800000	1.01650149309942	PASS
chr1	107800000	107850000	1.01200049584861	PASS
chr1	107850000	107900000	1.00735551017356	PASS
chr1	107900000	107950000	1.00258029679511	PASS
chr1	107950000	108000000	0.997688616434085	PASS
chr1	10800000	10850000	1.01651626087927	PASS
chr1	108000000	108050000	0.99269422981132	PASS
chr1	108050000	108100000	0.987610897647646	PASS
chr1	108100000	108150000	0.982452380663893	PASS
chr1	108150000	108200000	0.977232439580895	PASS
chr1	108200000	108250000	0.971964835119482	PASS
chr1	108250000	108300000	0.966663328000487	PASS
chr1	108300000	108350000	0.96134167894474	PASS
chr1	108350000	108400000	0.956013648673075	PASS
chr1	108400000	108450000	0.950692997906322	PASS
chr1	108450000	108500000	0.945393487365314	PASS
chr1	10850000	10900000	1.00776028894952	PASS
chr1	108500000	108550000	0.940128877770882	PASS
chr1	108550000	108600000	0.934912929843858	PASS
chr1	108600000	108650000	0.929759404305073	PASS
chr1	108650000	108700000	0.924682061875359	PASS
chr1	108700000	108750000	NA	very_poor_mapping_qual
chr1	108750000	108800000	NA	very_poor_mapping_qual
chr1	108800000	108850000	NA	very_poor_mapping_qual
chr1	108850000	108900000	0.905409737663853	poor_mapping_qual
chr1	108900000	108950000	NA	very_poor_mapping_qual
chr1	108950000	109000000	NA	very_poor_mapping_qual
chr1	10900000	10950000	0.998895115477594	PASS
chr1	109000000	109050000	NA	very_poor_mapping_qual
chr1	109050000	109100000	0.888457200864027	poor_mapping_qual
chr1	109100000	109150000	NA	very_poor_mapping_qual
chr1	109150000	109200000	0.881126067160129	PASS
chr1	109200000	109250000	0.877794946505094	poor_mapping_qual
chr1	109250000	109300000	0.874705137609112	PASS
chr1	109300000	109350000	0.871870401193014	poor_mapping_qual
chr1	109350000	109400000	0.869304497977631	PASS
chr1	109400000	109450000	0.867021188683796	PASS
chr1	109450000	109500000	0.865034234032339	PASS
chr1	10950000	11000000	0.989938251059238	PASS
chr1	109500000	109550000	0.863357394744094	PASS
chr1	109550000	109600000	0.862004431539891	poor_mapping_qual
chr1	109600000	109650000	0.860989105140563	poor_mapping_qual
chr1	109650000	109700000	0.860325175986584	PASS
chr1	109700000	109750000	0.860021478090464	poor_mapping_qual
chr1	109750000	109800000	0.860069364383279	PASS
chr1	109800000	109850000	0.860456312145061	PASS
chr1	109850000	109900000	0.861169798655839	PASS
chr1	109900000	109950000	0.862197301195644	PASS
chr1	109950000	110000000	0.863526297044506	PASS
chr1	1100000	1150000	NA	very_poor_mapping_qual
chr1	11000000	11050000	0.980907206290188	poor_mapping_qual
chr1	110000000	110050000	0.865144263482455	PASS
chr1	110050000	110100000	0.86703867778952	PASS
chr1	110100000	110150000	0.869197017245734	PASS
chr1	110150000	110200000	0.871606759131125	poor_mapping_qual
chr1	110200000	110250000	NA	very_poor_mapping_qual
chr1	110250000	110300000	0.87713035930956	poor_mapping_qual
chr1	110300000	110350000	0.880219172162666	PASS
chr1	110350000	110400000	0.883509296565069	PASS
chr1	110400000	110450000	0.886988209796802	PASS
chr1	110450000	110500000	0.890643389137893	PASS
chr1	11050000	11100000	0.971819491766183	poor_mapping_qual
chr1	110500000	110550000	0.894462311868373	PASS
chr1	110550000	110600000	0.898432455268273	PASS
chr1	110600000	110650000	0.902541296617623	PASS
chr1	110650000	110700000	0.906776313196452	PASS
chr1	110700000	110750000	0.911124982284791	PASS
chr1	110750000	110800000	0.91557478116267	PASS
chr1	110800000	110850000	0.92011318711012	PASS
chr1	110850000	110900000	0.924727677407171	PASS
chr1	110900000	110950000	0.929405729333852	PASS
chr1	110950000	111000000	0.934134820170194	PASS
chr1	11100000	11150000	0.962692618082961	poor_mapping_qual
chr1	111000000	111050000	0.938902427196228	PASS
chr1	111050000	111100000	0.943696027691983	PASS
chr1	111100000	111150000	0.94850309893749	PASS
chr1	111150000	111200000	0.953311118212779	PASS
chr1	111200000	111250000	0.95810756279788	PASS
chr1	111250000	111300000	0.962879909972823	PASS
chr1	111300000	111350000	0.967615637017639	PASS
chr1	111350000	111400000	0.972302221212357	poor_mapping_qual
chr1	111400000	111450000	0.976927139837009	PASS
chr1	111450000	111500000	0.981477870171624	PASS
chr1	11150000	11200000	0.953544095836262	PASS
chr1	111500000	111550000	0.985941889496232	PASS
chr1	111550000	111600000	0.990306675090863	PASS
chr1	111600000	111650000	0.994559704235549	poor_mapping_qual
chr1	111650000	111700000	0.998688454210319	PASS
chr1	111700000	111750000	1.0026804022952	PASS
chr1	111750000	111800000	1.00652302577023	PASS
chr1	111800000	111850000	1.01020380191543	PASS
chr1	111850000	111900000	NA	very_poor_mapping_qual
chr1	111900000	111950000	1.01702972133648	PASS
chr1	111950000	112000000	1.02014981917239	PASS
chr1	11200000	11250000	0.944391435621824	PASS
chr1	112000000	112050000	1.0230579787986	PASS
chr1	112050000	112100000	1.02574167749513	PASS
chr1	112100000	112150000	1.02818839254201	PASS
chr1	112150000	112200000	NA	very_poor_mapping_qual
chr1	112200000	112250000	1.03232646090472	PASS
chr1	112250000	112300000	1.03401640955783	PASS
chr1	112300000	112350000	1.03546267331702	PASS
chr1	112350000	112400000	1.03667245202395	PASS
chr1	112400000	112450000	1.03765294552031	PASS
chr1	112450000	112500000	1.03841135364776	PASS
chr1	11250000	11300000	0.935252148035386	PASS
chr1	112500000	112550000	1.03895487624796	PASS
chr1	112550000	112600000	1.03929071316259	PASS
chr1	112600000	112650000	1.03942606423332	PASS
chr1	112650000	112700000	1.03936812930181	PASS
chr1	112700000	112750000	1.03912410820974	PASS
chr1	112750000	112800000	NA	very_poor_mapping_qual
chr1	112800000	112850000	1.03810660691057	poor_mapping_qual
chr1	112850000	112900000	1.03734752638682	PASS
chr1	112900000	112950000	1.03643115906917	PASS
chr1	112950000	113000000	1.0353647047993	PASS
chr1	11300000	11350000	0.926143743672688	poor_mapping_qual
chr1	113000000	113050000	1.03415536341888	PASS
chr1	113050000	113100000	1.03281033476958	PASS
chr1	113100000	113150000	1.03133681869306	PASS
chr1	113150000	113200000	NA	very_poor_mapping_qual
chr1	113200000	113250000	1.02803312362506	PASS
chr1	113250000	113300000	1.02621734431691	poor_mapping_qual
chr1	113300000	113350000	NA	very_poor_mapping_qual
chr1	113350000	113400000	NA	very_poor_mapping_qual
chr1	113400000	113450000	NA	very_poor_mapping_qual
chr1	113450000	113500000	1.01802934489563	PASS
chr1	11350000	11400000	0.917083733129469	poor_mapping_qual
